program	filename	num_reads	K	run_time	max_rss	max_vmem	diff_total_kmers	diff_total_kmers_added	diff_num_kmers_gt_1	total_kmers	total_kmers_clean	total_kmers_added	num_kmers_gt_1	avg_abs_diff_in	avg_abs_diff_out	sampled
sfs		1m	21	96	2221	2242	0	-55918817	-2948912	80000000	0	10621358	475494	0.880458	0.002083	15
cml		1m	21	324	6404	6429	0	-55918817	-3202775	80000000	0	10621358	221631	0.871210	0.002654	15
bf2		1m	21	235	6330	6357	0	-55846988	-3202778	80000000	0	10693187	221628	3.177104	4.261773	15
cqf		1m	21	15	2248	2269	0	-55918817	-3202778	80000000	0	10621358	221628	0.871127	0.002654	15
sfs		1m	21	108	2221	2242	0	-45636298	-1922500	80000000	0	20903877	1501906	0.730207	0.002083	30
cml		1m	21	324	6404	6429	0	-45636298	-2857835	80000000	0	20903877	566571	0.717019	0.003124	30
bf2		1m	21	271	6330	6357	0	-45550166	-2873143	80000000	0	20990009	551263	3.537554	4.619881	30
cqf		1m	21	20	2248	2269	0	-45636298	-2873143	80000000	0	20903877	551263	0.716840	0.003000	30
sfs		1m	21	115	2221	2242	0	-35548831	-1164248	80000000	0	30991344	2260158	0.566008	0.004727	45
cml		1m	21	334	6404	6429	0	-35548831	-1368406	80000000	0	30991344	2056000	0.545718	0.025636	45
bf2		1m	21	267	6330	6357	0	-35454198	-2435493	80000000	0	31085977	988913	3.751152	4.832914	45
cqf		1m	21	26	2248	2269	0	-35548831	-2435493	80000000	0	30991344	988913	0.549427	0.003159	45
sfs		1m	21	142	2221	2242	0	-25623581	-762285	80000000	0	40916594	2662121	0.400773	0.006049	60
bf2		1m	21	266	6330	6357	0	-25522851	-1894887	80000000	0	41017324	1529519	3.905457	4.984227	60
cqf		1m	21	31	2248	2269	0	-25623581	-1894887	80000000	0	40916594	1529519	0.379981	0.003248	60
cml		1m	21	334	6404	6429	0	-25623581	7641281	80000000	0	40916594	11065687	0.358364	0.200056	60
sfs		1m	21	161	2221	2242	0	-15842704	-530493	80000000	0	50697471	2893913	0.265984	0.006049	75
bf2		1m	21	291	6330	6357	0	-15737094	-1258209	80000000	0	50803081	2166197	4.029384	5.109897	75
cqf		1m	21	36	2248	2269	0	-15842704	-1258209	80000000	0	50697471	2166197	0.241595	0.003366	75
cml		1m	21	355	6404	6429	0	-15842704	26820855	80000000	0	50697471	30245261	0.251735	0.589088	75
bf2		1m	21	352	6329	6357	0	259653	8283	80000000	0	66799828	3432689	4.192425	5.272744	100
cqf		1m	21	41	2248	2269	0	148094	8283	80000000	0	66688269	3432689	0.000000	0.003587	100
sfs		1m	21	173	2221	2242	0	148094	-262567	80000000	0	66688269	3161839	0.031800	0.004727	100
cml		1m	21	355	6404	6429	0	148094	53490408	80000000	0	66688269	56914814	0.249819	1.122626	100
sfs		2m	21	217	2221	2242	80000000	-45627948	-1843960	160000000	0	20912227	1580446	0.929681	0.000000	15
cml		2m	21	699	10207	10232	80000000	-45627948	-2853711	160000000	0	20912227	570695	0.917505	0.000000	15
bf2		2m	21	552	10133	10161	80000000	-45541975	-2880282	160000000	0	20998200	544124	3.524972	4.612685	15
cqf		2m	21	26	2248	2269	80000000	-45627948	-2880282	160000000	0	20912227	544124	0.917462	0.000000	15
sfs		2m	21	251	2221	2242	80000000	-25594670	-653536	160000000	0	40945505	2770870	0.766123	0.000000	30
bf2		2m	21	582	10133	10161	80000000	-25494111	-1925417	160000000	0	41046064	1498989	3.895127	4.980401	30
cqf		2m	21	31	2248	2269	80000000	-25594670	-1925417	160000000	0	40945505	1498989	0.750769	0.000000	30
cml		2m	21	679	10207	10232	80000000	-25594670	15100418	160000000	0	40945505	18524824	0.672744	0.177177	30
sfs		2m	21	263	2221	2242	80000000	-6142592	-189447	160000000	0	60397583	3234959	0.603599	0.002644	45
